Area Code: 201, Number: 12014567890, Valid: true
Area Code: 202, Number: 12024567890, Valid: true
Area Code: 203, Number: 12034567890, Valid: true
Area Code: 205, Number: 12054567890, Valid: true
Area Code: 206, Number: 12064567890, Valid: true
Area Code: 207, Number: 12074567890, Valid: true
Area Code: 208, Number: 12084567890, Valid: true
Area Code: 209, Number: 12094567890, Valid: true
Area Code: 210, Number: 12104567890, Valid: true
Area Code: 212, Number: 12124567890, Valid: true
Area Code: 213, Number: 12134567890, Valid: true
Area Code: 214, Number: 12144567890, Valid: true
Area Code: 215, Number: 12154567890, Valid: true
Area Code: 216, Number: 12164567890, Valid: true
Area Code: 217, Number: 12174567890, Valid: true
Area Code: 218, Number: 12184567890, Valid: true
Area Code: 219, Number: 12194567890, Valid: true
Area Code: 220, Number: 12204567890, Valid: true
Area Code: 223, Number: 12234567890, Valid: true
Area Code: 224, Number: 12244567890, Valid: true
Area Code: 225, Number: 12254567890, Valid: true
Area Code: 227, Number: 12274567890, Valid: true
Area Code: 228, Number: 12284567890, Valid: true
Area Code: 229, Number: 12294567890, Valid: true
Area Code: 231, Number: 12314567890, Valid: true
Area Code: 234, Number: 12344567890, Valid: true
Area Code: 239, Number: 12394567890, Valid: true
Area Code: 240, Number: 12404567890, Valid: true
Area Code: 242, Number: 12424567890, Valid: true
Area Code: 246, Number: 12464567890, Valid: true
Area Code: 248, Number: 12484567890, Valid: true
Area Code: 249, Number: 12494567890, Valid: true
Area Code: 250, Number: 12504567890, Valid: true
Area Code: 251, Number: 12514567890, Valid: true
Area Code: 252, Number: 12524567890, Valid: true
Area Code: 253, Number: 12534567890, Valid: true
Area Code: 254, Number: 12544567890, Valid: true
Area Code: 256, Number: 12564567890, Valid: true
Area Code: 260, Number: 12604567890, Valid: true
Area Code: 262, Number: 12624567890, Valid: true
Area Code: 267, Number: 12674567890, Valid: true
Area Code: 268, Number: 12684567890, Valid: false
Area Code: 269, Number: 12694567890, Valid: true
Area Code: 270, Number: 12704567890, Valid: true
Area Code: 272, Number: 12724567890, Valid: true
Area Code: 274, Number: 12744567890, Valid: false
Area Code: 276, Number: 12764567890, Valid: true
Area Code: 278, Number: 12784567890, Valid: false
Area Code: 281, Number: 12814567890, Valid: true
Area Code: 283, Number: 12834567890, Valid: true
Area Code: 284, Number: 12844567890, Valid: false
Area Code: 285, Number: 12854567890, Valid: false
Area Code: 289, Number: 12894567890, Valid: true
Area Code: 301, Number: 13014567890, Valid: true
Area Code: 302, Number: 13024567890, Valid: true
Area Code: 303, Number: 13034567890, Valid: true
Area Code: 304, Number: 13044567890, Valid: true
Area Code: 305, Number: 13054567890, Valid: true
Area Code: 306, Number: 13064567890, Valid: true
Area Code: 307, Number: 13074567890, Valid: true
Area Code: 308, Number: 13084567890, Valid: true
Area Code: 309, Number: 13094567890, Valid: true
Area Code: 310, Number: 13104567890, Valid: true
Area Code: 312, Number: 13124567890, Valid: true
Area Code: 313, Number: 13134567890, Valid: true
Area Code: 314, Number: 13144567890, Valid: true
Area Code: 315, Number: 13154567890, Valid: true
Area Code: 316, Number: 13164567890, Valid: true
Area Code: 317, Number: 13174567890, Valid: true
Area Code: 318, Number: 13184567890, Valid: true
Area Code: 319, Number: 13194567890, Valid: true
Area Code: 320, Number: 13204567890, Valid: true
Area Code: 321, Number: 13214567890, Valid: true
Area Code: 323, Number: 13234567890, Valid: true
Area Code: 325, Number: 13254567890, Valid: true
Area Code: 326, Number: 13264567890, Valid: true
Area Code: 327, Number: 13274567890, Valid: false
Area Code: 330, Number: 13304567890, Valid: true
Area Code: 331, Number: 13314567890, Valid: true
Area Code: 332, Number: 13324567890, Valid: true
Area Code: 334, Number: 13344567890, Valid: true
Area Code: 336, Number: 13364567890, Valid: true
Area Code: 337, Number: 13374567890, Valid: true
Area Code: 339, Number: 13394567890, Valid: true
Area Code: 340, Number: 13404567890, Valid: false
Area Code: 341, Number: 13414567890, Valid: true
Area Code: 343, Number: 13434567890, Valid: true
Area Code: 345, Number: 13454567890, Valid: false
Area Code: 346, Number: 13464567890, Valid: true
Area Code: 347, Number: 13474567890, Valid: true
Area Code: 351, Number: 13514567890, Valid: true
Area Code: 352, Number: 13524567890, Valid: true
Area Code: 360, Number: 13604567890, Valid: true
Area Code: 361, Number: 13614567890, Valid: true
Area Code: 364, Number: 13644567890, Valid: true
Area Code: 365, Number: 13654567890, Valid: true
Area Code: 367, Number: 13674567890, Valid: true
Area Code: 380, Number: 13804567890, Valid: true
Area Code: 385, Number: 13854567890, Valid: true
Area Code: 386, Number: 13864567890, Valid: true
Area Code: 401, Number: 14014567890, Valid: true
Area Code: 402, Number: 14024567890, Valid: true
Area Code: 403, Number: 14034567890, Valid: true
Area Code: 404, Number: 14044567890, Valid: true
Area Code: 405, Number: 14054567890, Valid: true
Area Code: 406, Number: 14064567890, Valid: true
Area Code: 407, Number: 14074567890, Valid: true
Area Code: 408, Number: 14084567890, Valid: true
Area Code: 409, Number: 14094567890, Valid: true
Area Code: 410, Number: 14104567890, Valid: true
Area Code: 412, Number: 14124567890, Valid: true
Area Code: 413, Number: 14134567890, Valid: true
Area Code: 414, Number: 14144567890, Valid: true
Area Code: 415, Number: 14154567890, Valid: true
Area Code: 416, Number: 14164567890, Valid: true
Area Code: 417, Number: 14174567890, Valid: true
Area Code: 418, Number: 14184567890, Valid: true
Area Code: 419, Number: 14194567890, Valid: true
Area Code: 423, Number: 14234567890, Valid: true
Area Code: 424, Number: 14244567890, Valid: true
Area Code: 425, Number: 14254567890, Valid: true
Area Code: 430, Number: 14304567890, Valid: true
Area Code: 432, Number: 14324567890, Valid: true
Area Code: 434, Number: 14344567890, Valid: true
Area Code: 435, Number: 14354567890, Valid: true
Area Code: 437, Number: 14374567890, Valid: true
Area Code: 438, Number: 14384567890, Valid: true
Area Code: 440, Number: 14404567890, Valid: true
Area Code: 441, Number: 14414567890, Valid: true
Area Code: 442, Number: 14424567890, Valid: true
Area Code: 443, Number: 14434567890, Valid: true
Area Code: 445, Number: 14454567890, Valid: true
Area Code: 447, Number: 14474567890, Valid: true
Area Code: 448, Number: 14484567890, Valid: true
Area Code: 450, Number: 14504567890, Valid: true
Area Code: 458, Number: 14584567890, Valid: true
Area Code: 463, Number: 14634567890, Valid: true
Area Code: 464, Number: 14644567890, Valid: true
Area Code: 468, Number: 14684567890, Valid: true
Area Code: 469, Number: 14694567890, Valid: true
Area Code: 470, Number: 14704567890, Valid: true
Area Code: 473, Number: 14734567890, Valid: true
Area Code: 475, Number: 14754567890, Valid: true
Area Code: 478, Number: 14784567890, Valid: true
Area Code: 479, Number: 14794567890, Valid: true
Area Code: 480, Number: 14804567890, Valid: true
Area Code: 484, Number: 14844567890, Valid: true
Area Code: 500, Number: 15004567890, Valid: true
Area Code: 501, Number: 15014567890, Valid: true
Area Code: 502, Number: 15024567890, Valid: true
Area Code: 503, Number: 15034567890, Valid: true
Area Code: 504, Number: 15044567890, Valid: true
Area Code: 505, Number: 15054567890, Valid: true
Area Code: 506, Number: 15064567890, Valid: true
Area Code: 507, Number: 15074567890, Valid: true
Area Code: 508, Number: 15084567890, Valid: true
Area Code: 509, Number: 15094567890, Valid: true
Area Code: 510, Number: 15104567890, Valid: true
Area Code: 512, Number: 15124567890, Valid: true
Area Code: 513, Number: 15134567890, Valid: true
Area Code: 514, Number: 15144567890, Valid: true
Area Code: 515, Number: 15154567890, Valid: true
Area Code: 516, Number: 15164567890, Valid: true
Area Code: 517, Number: 15174567890, Valid: true
Area Code: 518, Number: 15184567890, Valid: true
Area Code: 519, Number: 15194567890, Valid: true
Area Code: 520, Number: 15204567890, Valid: true
Area Code: 530, Number: 15304567890, Valid: true
Area Code: 531, Number: 15314567890, Valid: true
Area Code: 533, Number: 15334567890, Valid: true
Area Code: 534, Number: 15344567890, Valid: true
Area Code: 539, Number: 15394567890, Valid: true
Area Code: 540, Number: 15404567890, Valid: true
Area Code: 541, Number: 15414567890, Valid: true
Area Code: 544, Number: 15444567890, Valid: true
Area Code: 551, Number: 15514567890, Valid: true
Area Code: 555, Number: 15554567890, Valid: false
Area Code: 557, Number: 15574567890, Valid: true
Area Code: 559, Number: 15594567890, Valid: true
Area Code: 561, Number: 15614567890, Valid: true
Area Code: 562, Number: 15624567890, Valid: true
Area Code: 563, Number: 15634567890, Valid: true
Area Code: 564, Number: 15644567890, Valid: true
Area Code: 566, Number: 15664567890, Valid: true
